Name,NumberOfInstances,NumberOfMissingValues,NumberOfNumericFeatures,NumberOfSymbolicFeatures,NumberOfClasses,MajorityClassPercentage
AP_Omentum_Lung (1),203.0,0.0,10936.0,1.0,2.0,62.06896551724138
AP_Colon_Prostate (1),355.0,0.0,10936.0,1.0,2.0,80.56338028169014
AP_Lung_Uterus (1),250.0,0.0,10936.0,1.0,2.0,50.4
AP_Endometrium_Lung (1),187.0,0.0,10936.0,1.0,2.0,67.37967914438502
BNG(glass) (1),137781.0,0.0,9.0,1.0,7.0,35.399655975787674
CreditCardSubset (1),14240.0,0.0,30.0,1.0,2.0,99.83848314606743
GesturePhaseSegmentationRAW (1),,,,,,
"BNG(sick,nominal,1000000) (1)",1000000.0,0.0,0.0,30.0,2.0,93.8761
EMNIST_Balanced (1),131600.0,0.0,784.0,1.0,,
"BNG(credit-a,nominal,1000000) (1)",1000000.0,0.0,0.0,16.0,2.0,55.4898
OVA_Endometrium (1),1545.0,0.0,10936.0,1.0,2.0,96.05177993527508
"BNG(colic,nominal,1000000) (1)",1000000.0,0.0,0.0,23.0,2.0,62.9653
"BNG(labor,nominal,1000000) (1)",1000000.0,0.0,0.0,17.0,2.0,64.55199999999999
dbworld-subjects-stemmed (1),64.0,0.0,0.0,230.0,2.0,54.6875
robot-failures-lp1 (1),88.0,0.0,90.0,1.0,4.0,38.63636363636363
robot-failures-lp2 (1),47.0,0.0,90.0,1.0,5.0,42.5531914893617
robot-failures-lp3 (1),47.0,0.0,90.0,1.0,4.0,42.5531914893617
"BNG(colic.ORIG,nominal,1000000) (1)",1000000.0,0.0,0.0,28.0,2.0,66.2777
"BNG(heart-statlog,nominal,1000000) (1)",1000000.0,0.0,0.0,14.0,2.0,55.4324
"BNG(hepatitis,nominal,1000000) (1)",1000000.0,0.0,0.0,20.0,2.0,79.1048
"BNG(breast-cancer,nominal,1000000) (1)",1000000.0,0.0,0.0,10.0,2.0,70.28229999999999
"BNG(vehicle,nominal,1000000) (1)",1000000.0,0.0,0.0,19.0,4.0,25.8113
BNG(colic) (1),1000000.0,0.0,7.0,16.0,2.0,63.0221
letter-challenge-unlabeled.arff (1),20000.0,10000.0,16.0,1.0,3.0,50.0
gas-drift-different-concentrations (1),13910.0,0.0,129.0,1.0,6.0,21.63191948238677
"BNG(credit-g,nominal,1000000) (1)",1000000.0,0.0,0.0,21.0,2.0,69.9587
adult-census (1),32561.0,4262.0,7.0,9.0,2.0,75.91904425539755
"BNG(bridges_version1,nominal,1000000) (1)",1000000.0,0.0,0.0,13.0,6.0,42.2711
BNG(anneal.ORIG) (2),1000000.0,0.0,6.0,33.0,6.0,75.9652
new3s.wc (1),9558.0,0.0,26832.0,1.0,44.0,7.281858129315755
AP_Ovary_Kidney (1),458.0,0.0,10936.0,1.0,2.0,56.76855895196506
"BNG(pendigits,nominal,1000000) (1)",1000000.0,0.0,0.0,17.0,10.0,10.4573
"BNG(heart-h,nominal,1000000) (1)",1000000.0,0.0,0.0,14.0,5.0,63.4862
"BNG(anneal.ORIG,nominal,1000000) (1)",1000000.0,0.0,0.0,39.0,6.0,75.9513
"BNG(bridges_version2,nominal,1000000) (1)",1000000.0,0.0,0.0,13.0,6.0,42.2711
cloud (1),108.0,0.0,5.0,2.0,0.0,
AP_Lung_Kidney (1),386.0,0.0,10936.0,1.0,2.0,67.35751295336786
AP_Prostate_Lung (1),195.0,0.0,10936.0,1.0,2.0,64.61538461538461
AP_Endometrium_Ovary (1),259.0,0.0,10936.0,1.0,2.0,76.44787644787645
"BNG(heart-c,nominal,1000000) (1)",1000000.0,0.0,0.0,14.0,5.0,54.081
breast-cancer-dropped-missing-attributes-values (1),277.0,0.0,0.0,10.0,2.0,70.75812274368229
"BNG(dermatology,nominal,1000000) (1)",1000000.0,0.0,0.0,35.0,6.0,30.4611
"BNG(hypothyroid,nominal,1000000) (1)",1000000.0,0.0,0.0,30.0,4.0,92.2578
BNG(cylinder-bands) (1),1000000.0,0.0,18.0,22.0,2.0,57.8062
BNG(autos) (1),1000000.0,0.0,15.0,11.0,7.0,32.3554
AP_Endometrium_Uterus (1),185.0,0.0,10936.0,1.0,2.0,67.02702702702703
AP_Breast_Lung (1),470.0,0.0,10936.0,1.0,2.0,73.19148936170212
AP_Endometrium_Omentum (1),138.0,0.0,10936.0,1.0,2.0,55.79710144927537
AP_Prostate_Ovary (1),267.0,0.0,10936.0,1.0,2.0,74.15730337078651
AP_Endometrium_Kidney (1),321.0,0.0,10936.0,1.0,2.0,80.99688473520249
AP_Colon_Uterus (1),410.0,0.0,10936.0,1.0,2.0,69.7560975609756
AP_Omentum_Prostate (1),146.0,0.0,10936.0,1.0,2.0,52.73972602739726
AP_Colon_Lung (1),412.0,0.0,10936.0,1.0,2.0,69.41747572815535
AP_Endometrium_Colon (1),347.0,0.0,10936.0,1.0,2.0,82.42074927953891
AP_Ovary_Lung (1),324.0,0.0,10936.0,1.0,2.0,61.111111111111114
AP_Breast_Uterus (1),468.0,0.0,10936.0,1.0,2.0,73.50427350427351
"BNG(zoo,nominal,1000000) (1)",1000000.0,0.0,0.0,18.0,7.0,39.6212
"BNG(cylinder-bands,nominal,1000000) (1)",1000000.0,0.0,0.0,40.0,2.0,57.7023
wine-quality-white (1),4898.0,0.0,11.0,1.0,7.0,44.87545937117191
micro-mass (1),360.0,0.0,1300.0,1.0,10.0,10.0
"BNG(waveform-5000,nominal,1000000) (1)",1000000.0,0.0,0.0,41.0,3.0,33.7805
"BNG(lymph,nominal,1000000) (1)",1000000.0,0.0,0.0,19.0,4.0,54.3512
"BNG(autos,nominal,1000000) (1)",1000000.0,0.0,0.0,26.0,7.0,32.3286
"BNG(letter,nominal,1000000) (1)",1000000.0,0.0,0.0,17.0,26.0,4.0828000000000015
OVA_Prostate (1),1545.0,0.0,10936.0,1.0,2.0,95.53398058252426
USPS (2),9298.0,0.0,256.0,1.0,10.0,16.702516670251665
volcanoes-c1 (1),28626.0,0.0,3.0,1.0,5.0,97.44637741912943
Olivetti_Faces (1),400.0,0.0,4096.0,1.0,40.0,2.5
UMIST_Faces_Cropped (1),575.0,0.0,10304.0,1.0,20.0,8.347826086956523
Engine1 (1),383.0,0.0,5.0,1.0,3.0,67.1018276762402
BNG(mfeat-zernike) (1),1000000.0,0.0,47.0,1.0,10.0,10.0289
SVHN (1),99289.0,0.0,3072.0,1.0,10.0,19.0957709313217
BNG(mfeat-karhunen) (1),1000000.0,0.0,64.0,1.0,10.0,10.041
"BNG(mfeat-zernike,nominal,1000000) (1)",1000000.0,0.0,0.0,48.0,10.0,10.038
BNG(Australian) (1),1000000.0,0.0,14.0,1.0,2.0,57.3051
cars (1),406.0,14.0,6.0,3.0,3.0,62.56157635467979
BNG(primary-tumor) (1),1000000.0,0.0,0.0,18.0,22.0,24.0693
"BNG(mfeat-karhunen,nominal,1000000) (1)",1000000.0,0.0,0.0,65.0,10.0,10.0393
analcatdata_negotiation (1),92.0,26.0,5.0,1.0,0.0,
"BNG(sonar,nominal,1000000) (1)",1000000.0,0.0,0.0,61.0,2.0,53.3556
analcatdata_broadway (1),95.0,9.0,3.0,7.0,5.0,71.57894736842105
"BNG(mfeat-fourier,nominal,1000000) (1)",1000000.0,0.0,0.0,77.0,10.0,10.0595
anthracyclineTaxaneChemotherapy (1),159.0,0.0,61359.0,1.0,2.0,59.74842767295597
BNG(SPECTF) (1),1000000.0,0.0,44.0,1.0,2.0,71.87
cholesterol (1),303.0,6.0,7.0,7.0,0.0,
BNG(spect_test) (1),1000000.0,0.0,0.0,23.0,2.0,91.5437
BNG(adult) (1),1000000.0,0.0,2.0,13.0,2.0,75.9864
BNG(vowel) (2),1000000.0,0.0,10.0,3.0,11.0,9.1406
BNG(spectf_test) (1),1000000.0,0.0,44.0,1.0,2.0,78.48100000000002
analcatdata_halloffame (1),1340.0,20.0,15.0,3.0,3.0,90.67164179104479
prnn_cushings (1),27.0,0.0,2.0,2.0,4.0,44.444444444444436
dbworld-subjects (1),64.0,0.0,0.0,243.0,2.0,54.6875
STL-10 (1),13000.0,0.0,27648.0,1.0,10.0,10.0
cleveland (1),303.0,6.0,7.0,7.0,0.0,
"BNG(audiology,1000,1) (1)",1000000.0,0.0,0.0,70.0,24.0,24.1431
Click_prediction_small (3),1997410.0,0.0,11.0,1.0,2.0,83.32821003199143
tokyo1 (1),959.0,0.0,42.0,3.0,2.0,63.92075078206465
analcatdata_challenger (1),23.0,0.0,1.0,5.0,3.0,69.56521739130434
"BNG(letter,1000,10) (1)",1000000.0,0.0,16.0,1.0,26.0,4.0765
"BNG(audiology,1000,5) (1)",1000000.0,0.0,0.0,70.0,24.0,24.1431
"BNG(autos,1000,5) (1)",1000000.0,0.0,15.0,11.0,7.0,32.3554
meta (1),528.0,504.0,20.0,2.0,0.0,
"BNG(letter,5000,5) (1)",1000000.0,0.0,16.0,1.0,26.0,4.0765
"BNG(autos,1000,1) (1)",1000000.0,0.0,15.0,11.0,7.0,32.3554
MyIris (1),150.0,0.0,4.0,1.0,3.0,33.33333333333333
thyroid-allhypo (1),2800.0,0.0,6.0,21.0,5.0,58.28571428571429
analcatdata_fraud (1),42.0,0.0,0.0,12.0,2.0,69.04761904761905
solar-flare (5),1066.0,0.0,0.0,11.0,2.0,82.92682926829268
cleve (1),303.0,0.0,5.0,9.0,2.0,54.45544554455447
colleges_aaup (1),1161.0,256.0,14.0,3.0,4.0,53.14384151593455
fl2000 (1),67.0,0.0,14.0,3.0,5.0,61.19402985074627
analcatdata_bondrate (1),57.0,1.0,4.0,8.0,5.0,57.89473684210528
BachChoralHarmony (1),5665.0,0.0,2.0,15.0,102.0,8.879082082965578
thoracic_surgery (1),470.0,0.0,3.0,14.0,2.0,85.1063829787234
codrna (1),488565.0,0.0,8.0,1.0,2.0,66.66666666666666
bridges (4),105.0,61.0,0.0,13.0,6.0,41.904761904761905
"BNG(kr-vs-kp,5000,1) (1)",1000000.0,0.0,0.0,37.0,2.0,52.1875
"BNG(letter,1000,1) (1)",1000000.0,0.0,16.0,1.0,26.0,4.0765
"BNG(audiology,5000,1) (1)",1000000.0,0.0,0.0,70.0,24.0,24.1431
thyroid-ann (1),3772.0,0.0,21.0,1.0,3.0,92.47083775185577
thyroid-allrep (1),2800.0,0.0,6.0,21.0,5.0,58.28571428571429
thyroid-dis (1),2800.0,0.0,6.0,21.0,5.0,58.28571428571429
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1 (1),1600.0,0.0,0.0,21.0,2.0,50.0
GAMETES_Epistasis_2-Way_20atts_0.4H_EDM-1_1 (1),1600.0,0.0,0.0,21.0,2.0,50.0
GAMETES_Epistasis_3-Way_20atts_0.2H_EDM-1_1 (1),1600.0,0.0,0.0,21.0,2.0,50.0
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM-2_001 (1),1600.0,0.0,0.0,21.0,2.0,50.0
calendarDOW (1),399.0,0.0,12.0,21.0,5.0,24.060150375939852
car-evaluation (1),1728.0,0.0,0.0,22.0,4.0,70.02314814814815
clean1 (1),476.0,0.0,168.0,1.0,2.0,56.51260504201681
clean2 (1),6598.0,0.0,168.0,1.0,2.0,84.58623825401637
corral (1),160.0,0.0,0.0,7.0,2.0,56.25
wine-quality-red (1),1599.0,0.0,11.0,1.0,6.0,42.589118198874296
xd6 (1),973.0,0.0,0.0,10.0,2.0,66.90647482014388
cars1 (1),392.0,0.0,6.0,2.0,3.0,62.5
Titanic (2),2201.0,0.0,3.0,1.0,2.0,67.69650159018627
parity5_plus_5 (1),1124.0,0.0,0.0,11.0,2.0,50.44483985765125
allbp (1),3772.0,0.0,6.0,24.0,3.0,95.67868504772005
allrep (1),3772.0,0.0,6.0,24.0,4.0,96.71261930010607
analcatdata_happiness (1),60.0,0.0,1.0,3.0,3.0,33.33333333333333
ecoli (3),327.0,0.0,7.0,1.0,5.0,43.7308868501529
led24 (1),3200.0,0.0,0.0,25.0,10.0,10.53125
led7 (1),3200.0,0.0,0.0,8.0,10.0,10.65625
mofn-3-7-10 (1),1324.0,0.0,0.0,11.0,2.0,77.94561933534743
mux6 (1),128.0,0.0,0.0,7.0,2.0,50.0
thyroid-new (1),215.0,0.0,5.0,1.0,3.0,69.76744186046511
threeOf9 (1),512.0,0.0,0.0,10.0,2.0,53.515625
cleveland-nominal (1),303.0,0.0,0.0,8.0,5.0,54.12541254125413
dis (1),3772.0,0.0,6.0,24.0,2.0,98.46235418875929
bridges (3),105.0,61.0,3.0,10.0,6.0,41.904761904761905
solar-flare (4),1066.0,0.0,0.0,13.0,6.0,31.05065666041276
solar-flare (3),315.0,0.0,0.0,13.0,5.0,27.936507936507937
"BNG(anneal.ORIG,1000,1) (1)",1000000.0,0.0,6.0,33.0,6.0,75.9652
"BNG(letter,1000,5) (1)",1000000.0,0.0,16.0,1.0,26.0,4.0765
"BNG(letter,10000,10) (1)",1000000.0,0.0,16.0,1.0,26.0,4.0765
"BNG(audiology,5000,10) (1)",1000000.0,0.0,0.0,70.0,24.0,24.1431
"BNG(lymph,1000,5) (1)",1000000.0,0.0,3.0,16.0,4.0,54.34949999999999
parity5 (1),32.0,0.0,0.0,6.0,2.0,50.0
"BNG(audiology,5000,5) (1)",1000000.0,0.0,0.0,70.0,24.0,24.1431
"BNG(anneal.ORIG,1000,5) (1)",1000000.0,0.0,6.0,33.0,6.0,75.9652
"BNG(anneal.ORIG,5000,10) (1)",1000000.0,0.0,6.0,33.0,6.0,75.9652
"BNG(anneal.ORIG,10000,1) (1)",1000000.0,0.0,6.0,33.0,6.0,75.9652
"BNG(kr-vs-kp,1000,5) (1)",1000000.0,0.0,0.0,37.0,2.0,52.1875
"BNG(kr-vs-kp,5000,10) (1)",1000000.0,0.0,0.0,37.0,2.0,52.1875
"BNG(kr-vs-kp,10000,5) (1)",1000000.0,0.0,0.0,37.0,2.0,52.1875
"BNG(kr-vs-kp,10000,10) (1)",1000000.0,0.0,0.0,37.0,2.0,52.1875
"BNG(letter,10000,5) (1)",1000000.0,0.0,16.0,1.0,26.0,4.0765
"BNG(autos,1000,10) (1)",1000000.0,0.0,15.0,11.0,7.0,32.3554
"BNG(autos,5000,1) (1)",1000000.0,0.0,15.0,11.0,7.0,32.3554
"BNG(kr-vs-kp,1000,1) (1)",1000000.0,0.0,0.0,37.0,2.0,52.1875
"BNG(lymph,1000,1) (1)",1000000.0,0.0,3.0,16.0,4.0,54.34949999999999
"BNG(letter,10000,1) (1)",1000000.0,0.0,16.0,1.0,26.0,4.0765
"BNG(anneal.ORIG,1000,10) (1)",1000000.0,0.0,6.0,33.0,6.0,75.9652
"BNG(anneal.ORIG,5000,1) (1)",1000000.0,0.0,6.0,33.0,6.0,75.9652
"BNG(anneal.ORIG,5000,5) (1)",1000000.0,0.0,6.0,33.0,6.0,75.9652
"BNG(anneal.ORIG,10000,5) (1)",1000000.0,0.0,6.0,33.0,6.0,75.9652
"BNG(anneal.ORIG,10000,10) (1)",1000000.0,0.0,6.0,33.0,6.0,75.9652
"BNG(kr-vs-kp,10000,1) (1)",1000000.0,0.0,0.0,37.0,2.0,52.1875
"BNG(letter,5000,10) (1)",1000000.0,0.0,16.0,1.0,26.0,4.0765
"BNG(audiology,1000,10) (1)",1000000.0,0.0,0.0,70.0,24.0,24.1431
"BNG(autos,10000,5) (1)",1000000.0,0.0,15.0,11.0,7.0,32.3554
"BNG(lymph,1000,10) (1)",1000000.0,0.0,3.0,16.0,4.0,54.34949999999999
"BNG(lymph,5000,5) (1)",1000000.0,0.0,3.0,16.0,4.0,54.34949999999999
"BNG(kr-vs-kp,1000,10) (1)",1000000.0,0.0,0.0,37.0,2.0,52.1875
"BNG(kr-vs-kp,5000,5) (1)",1000000.0,0.0,0.0,37.0,2.0,52.1875
"BNG(lymph,10000,10) (1)",1000000.0,0.0,3.0,16.0,4.0,54.34949999999999
"BNG(letter,5000,1) (1)",1000000.0,0.0,16.0,1.0,26.0,4.0765
"BNG(lymph,5000,10) (1)",1000000.0,0.0,3.0,16.0,4.0,54.34949999999999
"BNG(autos,5000,5) (1)",1000000.0,0.0,15.0,11.0,7.0,32.3554
"BNG(autos,5000,10) (1)",1000000.0,0.0,15.0,11.0,7.0,32.3554
"BNG(autos,10000,1) (1)",1000000.0,0.0,15.0,11.0,7.0,32.3554
"BNG(autos,10000,10) (1)",1000000.0,0.0,15.0,11.0,7.0,32.3554
"BNG(lymph,5000,1) (1)",1000000.0,0.0,3.0,16.0,4.0,54.34949999999999
"BNG(lymph,10000,1) (1)",1000000.0,0.0,3.0,16.0,4.0,54.34949999999999
"BNG(lymph,10000,5) (1)",1000000.0,0.0,3.0,16.0,4.0,54.34949999999999
postoperative-patient-data (3),88.0,0.0,0.0,9.0,2.0,72.72727272727273
KDDCup99 (1),494020.0,0.0,34.0,8.0,23.0,56.83777984696976
kr-vs-k (1),28056.0,0.0,3.0,4.0,18.0,16.228257770173936
poker (1),1025010.0,0.0,10.0,1.0,2.0,50.116779348494155
covertype (2),581012.0,0.0,54.0,1.0,2.0,51.240077657604324
chscase_census2 (1),400.0,0.0,8.0,0.0,0.0,
kin8nm (1),8192.0,0.0,9.0,0.0,0.0,
analcatdata_gsssexsurvey (1),159.0,6.0,5.0,5.0,0.0,
pbc (2),418.0,1033.0,14.0,6.0,0.0,
fri_c3_100_25 (1),100.0,0.0,26.0,0.0,0.0,
arcene (1),200.0,0.0,10000.0,1.0,2.0,56.00000000000001
plasma_retinol (1),315.0,0.0,11.0,3.0,0.0,
skin-segmentation (1),245057.0,0.0,3.0,1.0,2.0,79.24605295910746
jungle_chess_2pcs_endgame_panther_elephant (1),4704.0,0.0,20.0,27.0,3.0,53.039965986394556
chscase_foot (1),526.0,0.0,4.0,2.0,0.0,
echoMonths (1),130.0,97.0,7.0,3.0,0.0,
cpu_small (2),8192.0,0.0,13.0,0.0,0.0,
kdd_coil_7 (1),316.0,56.0,9.0,3.0,0.0,
jungle_chess_2pcs_endgame_panther_lion (1),4704.0,0.0,20.0,27.0,3.0,53.63520408163265
jungle_chess_2pcs_endgame_elephant_elephant (1),2351.0,0.0,20.0,27.0,2.0,55.97618034878774
Devnagari-Script (1),92000.0,0.0,1024.0,1.0,46.0,2.1739130434782608
mouseType (1),214.0,0.0,45101.0,1.0,7.0,32.242990654205606
BurkittLymphoma (1),220.0,0.0,22283.0,1.0,3.0,58.18181818181818
ovarianTumour (1),283.0,0.0,54621.0,1.0,3.0,86.57243816254417
jungle_chess_2pcs_endgame_panther_lion (2),4704.0,0.0,20.0,27.0,3.0,53.63520408163265
jungle_chess_2pcs_endgame_complete (1),44819.0,10584.0,20.0,27.0,3.0,51.45585577545239
jungle_chess_2pcs_endgame_rat_panther (1),5880.0,3528.0,20.0,27.0,3.0,44.47278911564626
jungle_chess_2pcs_endgame_rat_elephant (1),5880.0,3528.0,20.0,27.0,3.0,49.60884353741496
jungle_chess_2pcs_endgame_lion_elephant (1),4704.0,0.0,20.0,27.0,3.0,44.19642857142857
UNIX_user_data (1),9100.0,0.0,1.0,1.0,9.0,26.64835164835165
pbc (1),418.0,1239.0,11.0,8.0,0.0,
pharynx (1),195.0,2.0,2.0,10.0,0.0,
hungarian (1),294.0,782.0,7.0,7.0,0.0,
fishcatch (1),158.0,87.0,6.0,2.0,0.0,
"BNG(anneal,1000,5) (1)",1000000.0,0.0,6.0,33.0,6.0,75.9652
"BNG(anneal,5000,1) (1)",1000000.0,0.0,6.0,33.0,6.0,75.9652
CPMP-2015-regression (1),2108.0,0.0,24.0,2.0,0.0,
jungle_chess_2pcs_endgame_rat_rat (1),3660.0,0.0,20.0,27.0,2.0,56.14754098360656
jungle_chess_2pcs_endgame_rat_lion (1),5880.0,3528.0,20.0,27.0,3.0,52.3469387755102
jungle_chess_2pcs_endgame_lion_lion (1),2352.0,0.0,20.0,27.0,2.0,59.65136054421769
"BNG(anneal,1000,1) (1)",1000000.0,0.0,6.0,33.0,6.0,75.9652
"BNG(anneal,1000,10) (1)",1000000.0,0.0,6.0,33.0,6.0,75.9652
rsctc2010_5 (1),89.0,0.0,54613.0,1.0,4.0,48.31460674157304
rsctc2010_6 (1),92.0,0.0,59004.0,1.0,5.0,57.60869565217392
hepatitisC (1),283.0,0.0,54621.0,1.0,3.0,86.57243816254417
rsctc2010_2 (1),105.0,0.0,22283.0,1.0,3.0,55.23809523809525
rsctc2010_3 (1),95.0,0.0,22277.0,1.0,5.0,28.421052631578945
rsctc2010_1 (1),105.0,0.0,22283.0,1.0,3.0,55.23809523809525
sleuth_case1201 (1),50.0,0.0,7.0,1.0,0.0,
rsctc2010_4 (1),113.0,0.0,54675.0,1.0,5.0,45.13274336283185
DRSongsLyrics (1),358.0,0.0,0.0,1.0,2.0,50.0
auto_price (1),159.0,0.0,15.0,1.0,0.0,
"BNG(anneal,5000,5) (1)",1000000.0,0.0,6.0,33.0,6.0,75.9652
"BNG(anneal,10000,1) (1)",1000000.0,0.0,6.0,33.0,6.0,75.9652
"BNG(anneal,10000,10) (1)",1000000.0,0.0,6.0,33.0,6.0,75.9652
CPMP-2015-classification (1),527.0,0.0,24.0,2.0,4.0,39.46869070208729
pyrim (1),74.0,0.0,28.0,0.0,0.0,
"BNG(anneal,5000,10) (1)",1000000.0,0.0,6.0,33.0,6.0,75.9652
"BNG(anneal,10000,5) (1)",1000000.0,0.0,6.0,33.0,6.0,75.9652
boston (1),506.0,0.0,12.0,2.0,0.0,
ldpa (1),164860.0,0.0,5.0,3.0,11.0,33.046221036030566
wisconsin (1),194.0,0.0,33.0,0.0,0.0,
triazines (1),186.0,0.0,61.0,0.0,0.0,
stock (1),950.0,0.0,10.0,0.0,0.0,
cpu_small (1),8192.0,0.0,13.0,0.0,0.0,
mbagrade (1),61.0,0.0,2.0,1.0,0.0,
bolts (1),40.0,0.0,8.0,0.0,0.0,
fruitfly (1),125.0,0.0,3.0,2.0,0.0,
lowbwt (1),189.0,0.0,3.0,7.0,0.0,
elusage (1),55.0,0.0,2.0,1.0,0.0,
KDDCup99_full (1),4898431.0,0.0,34.0,8.0,23.0,57.322150704991046
space_ga (1),3107.0,0.0,7.0,0.0,0.0,
Internet-Advertisements (2),3279.0,0.0,3.0,1556.0,2.0,86.00182982616651
longley (1),16.0,0.0,7.0,0.0,0.0,
mv (1),40768.0,0.0,8.0,3.0,0.0,
lungcancer_shedden (1),442.0,0.0,21.0,3.0,0.0,
dbworld-bodies (1),64.0,0.0,0.0,4703.0,2.0,54.6875
socmob (1),1156.0,0.0,2.0,4.0,0.0,
FacultySalaries (1),50.0,0.0,5.0,1.0,0.0,
vineyard (1),52.0,0.0,4.0,0.0,0.0,
autoMpg (1),398.0,6.0,5.0,3.0,0.0,
cpu_act (1),8192.0,0.0,22.0,0.0,0.0,
delta_elevators (1),9517.0,0.0,7.0,0.0,0.0,
pol (1),15000.0,0.0,49.0,0.0,0.0,
autoPrice (1),159.0,0.0,16.0,0.0,0.0,
detroit (1),13.0,0.0,14.0,0.0,0.0,
quake (1),2178.0,0.0,4.0,0.0,0.0,
puma8NH (1),8192.0,0.0,9.0,0.0,0.0,
gascons (1),27.0,0.0,5.0,0.0,0.0,
pwLinear (1),200.0,0.0,11.0,0.0,0.0,
machine_cpu (1),209.0,0.0,7.0,0.0,0.0,
diabetes_numeric (1),43.0,0.0,3.0,0.0,0.0,
baskball (1),96.0,0.0,5.0,0.0,0.0,
2dplanes (1),40768.0,0.0,11.0,0.0,0.0,
elevators (1),16599.0,0.0,19.0,0.0,0.0,
house_8L (1),22784.0,0.0,9.0,0.0,0.0,
analcatdata_michiganacc (1),108.0,0.0,3.0,2.0,0.0,
kidney (1),76.0,0.0,4.0,3.0,0.0,
analcatdata_apnea3 (1),450.0,0.0,2.0,2.0,0.0,
analcatdata_apnea2 (1),475.0,0.0,2.0,2.0,0.0,
analcatdata_apnea1 (1),475.0,0.0,2.0,2.0,0.0,
cpu (1),209.0,0.0,7.0,1.0,0.0,
sleuth_case1202 (1),93.0,0.0,5.0,2.0,0.0,
covertype (4),581012.0,0.0,10.0,45.0,7.0,48.759922342395676
arsenic-male-bladder (1),559.0,0.0,4.0,1.0,0.0,
places (1),329.0,0.0,9.0,1.0,0.0,
analcatdata_ncaa (1),120.0,0.0,4.0,16.0,0.0,
pm10 (1),500.0,0.0,8.0,0.0,0.0,
analcatdata_neavote (1),100.0,0.0,2.0,2.0,0.0,
analcatdata_seropositive (1),132.0,0.0,3.0,1.0,0.0,
analcatdata_election2000 (1),67.0,0.0,15.0,1.0,0.0,
humandevel (1),130.0,0.0,3.0,1.0,0.0,
analcatdata_olympic2000 (1),66.0,0.0,12.0,1.0,0.0,
arsenic-female-bladder (1),559.0,0.0,4.0,1.0,0.0,
cps_85_wages (1),534.0,0.0,4.0,7.0,0.0,
analcatdata_chlamydia (1),100.0,0.0,1.0,3.0,0.0,
arsenic-male-lung (1),559.0,0.0,4.0,1.0,0.0,
arsenic-female-lung (1),559.0,0.0,4.0,1.0,0.0,
analcatdata_gviolence (1),74.0,0.0,9.0,1.0,0.0,
analcatdata_wildcat (1),163.0,0.0,4.0,2.0,0.0,
boston_corrected (1),506.0,0.0,18.0,3.0,0.0,
sensory (1),576.0,0.0,1.0,11.0,0.0,
no2 (1),500.0,0.0,8.0,0.0,0.0,
newton_hema (1),140.0,0.0,3.0,1.0,0.0,
analcatdata_hiroshima (1),649.0,0.0,2.0,1.0,0.0,
veteran (1),137.0,0.0,4.0,4.0,0.0,
analcatdata_vineyard (1),468.0,0.0,3.0,1.0,0.0,
MercuryinBass (1),53.0,0.0,11.0,1.0,0.0,
hutsof99_logis (1),70.0,0.0,4.0,4.0,0.0,
rmftsa_ctoarrivals (1),264.0,0.0,2.0,1.0,0.0,
visualizing_soil (1),8641.0,0.0,4.0,1.0,0.0,
sleuth_case2002 (1),147.0,0.0,3.0,4.0,0.0,
witmer_census_1980 (1),50.0,0.0,5.0,1.0,0.0,
nasa_numeric (1),93.0,0.0,4.0,20.0,0.0,
cocomo_numeric (1),60.0,0.0,2.0,15.0,0.0,
SMSA (1),59.0,0.0,16.0,1.0,0.0,
HappinessRank_2015 (1),158.0,0.0,10.0,2.0,0.0,
test_dataset (6),15547.0,280.0,60.0,1.0,2.0,51.231748890461176
QSAR-TID-12276 (1),87.0,0.0,1025.0,1.0,0.0,
QSAR-TID-12475 (1),13.0,0.0,1025.0,1.0,0.0,
satellite_image (1),6435.0,0.0,37.0,0.0,0.0,
poker-hand (1),1025009.0,0.0,10.0,1.0,10.0,50.11673068236474
poker-hand (2),1025000.0,0.0,10.0,1.0,9.0,50.117170731707326
poker (2),1025010.0,0.0,11.0,0.0,0.0,
fri_c4_500_25 (1),500.0,0.0,26.0,0.0,0.0,
fri_c0_1000_10 (1),1000.0,0.0,11.0,0.0,0.0,
variousCancers_final (1),383.0,0.0,54675.0,1.0,9.0,40.46997389033943
KungChi3 (1),123.0,0.0,39.0,1.0,2.0,86.99186991869921
spoken-arabic-digit (1),263256.0,0.0,14.0,1.0,10.0,10.064727869450268
enron (2),1702.0,0.0,0.0,1054.0,2.0,98.47238542890716
Run_or_walk_information (1),88588.0,0.0,6.0,1.0,2.0,50.08014629520928
fars (1),100968.0,0.0,14.0,16.0,8.0,41.71222565565329
QSAR-TID-12014 (1),22.0,0.0,1025.0,1.0,0.0,
QSAR-TID-30044 (1),80.0,0.0,1025.0,1.0,0.0,
QSAR-TID-11043 (1),35.0,0.0,1025.0,1.0,0.0,
QSAR-TID-23 (1),198.0,0.0,1025.0,1.0,0.0,
QSAR-TID-102465 (1),73.0,0.0,1025.0,1.0,0.0,
QSAR-TID-11036 (1),396.0,0.0,1025.0,1.0,0.0,
QSAR-TID-11473 (1),1529.0,0.0,1025.0,1.0,0.0,
QSAR-TID-11004 (1),214.0,0.0,1025.0,1.0,0.0,
